"providernumber";"hospitalname";"address1";"address2";"address3";"city";"state";"zip";"country";"phone";"hospitaltype";"hospitalowner";"emergencyservice";"condition";"measurecode";"measurename";"score";"sample";"stateavg"
"10164";"COOSA VALLEY MEDICAL CENTER";"315 W HICKORY ST";"";"";"SYLACAUGA";"AL";"35150";"TALLADEGA";"2562495000";"Acute Care Hospitals";"Voluntary non-profit - Other";"No";"Surgical Infection Prevention";"SCIP-INF-3";"surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)";"68%";"126 patients";"AL_SCIP-INF-3"
"10164";"COOSA VALLEY MEDICAL CENTER";"315 W HICKORY ST";"";"";"SYLACAUGA";"AL";"35150";"TALLADEGA";"2562495000";"Acute Care Hospitals";"Voluntary non-profit - Other";"No";"Surgical Infection Prevention";"SCIP-INF-4";"all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery";"";"0 patients";"AL_SCIP-INF-4"
"10164";"COOSA VALLEY MEDICAL CENTER";"315 W HICKORY ST";"";"";"SYLACAUGA";"AL";"35150";"TALLADEGA";"2562495000";"Acute Care Hospitals";"Voluntary non-profit - Other";"No";"Surgical Infection Prevention";"SCIP-INF-6";"surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream ï¿?C not a razor)";"100%";"195 patients";"AL_SCIP-INF-6"
"10164";"COOSA VALLEY MEDICAL CENTER";"315 W HICKORY ST";"";"";"SYLACAUGA";"AL";"35150";"TALLADEGA";"2562495000";"Acute Care Hospitals";"Voluntary non-profit - Other";"No";"Surgical Infection Prevention";"SCIP-VTE-1";"surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries";"85%";"81 patients";"AL_SCIP-VTE-1"
"10164";"COOSA VALLEY MEDICAL CENTER";"315 W HICKORY ST";"";"";"SYLACAUGA";"AL";"35150";"TALLADEGA";"2562495000";"Acute Care Hospitals";"Voluntary non-profit - Other";"No";"Surgical Infection Prevention";"SCIP-VTE-2";"patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery";"80%";"81 patients";"AL_SCIP-VTE-2"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35150";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Attack";"AMI-1";"Heart Attack Patients Given Aspirin at Arrival";"100%";"7 patients";"AL_AMI-1"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2562495000";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Attack";"AMI-2";"Heart Attack Patients Given Aspirin at Discharge";"100%";"6 patients";"AL_AMI-2"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Attack";"AMI-3";"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)";"";"0 patients";"AL_AMI-3"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Attack";"AMI-4";"Heart Attack Patients Given Smoking Cessation Advice/Counseling";"";"0 patients";"AL_AMI-4"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Attack";"AMI-5";"Heart Attack Patients Given Beta Blocker at Discharge";"100%";"6 patients";"AL_AMI-5"
